"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Проверяем, что при попытке входа с пустым паролем возвращается код 400 и валидное сообщение об ошибке.","1196","Попытка авторизации без пароля","tests","2026-09-06","passed","2026-09-06","Авторизация курьера","Проверки авторизации курьера","",""
"Проверяем, что передача валидных случайных строк в login, password и firstName возвращает код 201 и ответ {'ok': true}.","611","Успешная регистрация курьера со всеми обязательными полями","tests","2026-09-06","passed","2026-09-06","Регистрация курьера","Проверки регистрации курьера","",""
"Проверяем, что при передаче валидных логина и пароля сервер возвращает код 200 и цифровой ID курьера.","1317","Успешная авторизация курьера в системе","tests","2026-09-06","passed","2026-09-06","Авторизация курьера","Проверки авторизации курьера","",""
"Параметризованный тест: проверяем успешное создание заказа при {test_name} цвета.","604","Создание заказа при выборе черного и белого цвета.","tests","2026-09-06","passed","2026-09-06","Создание заказа","Проверки создания заказов","",""
"Параметризованный тест: проверяем успешное создание заказа при {test_name} цвета.","609","Создание заказа при выборе белого цвета.","tests","2026-09-06","passed","2026-09-06","Создание заказа","Проверки создания заказов","",""
"Проверяем, что попытка регистрации курьера с пустым полем login возвращает код 400 и валидный message.","589","Попытка регистрации без логина","tests","2026-09-06","passed","2026-09-06","Регистрация курьера","Проверки регистрации курьера","",""
"Проверяем граничное условие: поле firstName является необязательным, аккаунт должен успешно создаваться с пустой строкой.","664","Успешная регистрация курьера без указания имени","tests","2026-09-06","passed","2026-09-06","Регистрация курьера","Проверки регистрации курьера","",""
"Проверяем, что API возвращает список заказов, структура ответа корректна и содержит все обязательные поля.","14670","Успешное получение списка всех заказов","tests","2026-09-06","passed","2026-09-06","Получение списка всех заказов","Проверки получения списка заказов","",""
"Проверяем, что при попытке входа под случайными (не зарегистрированными) данными возвращается код 404.","618","Попытка авторизации под несуществующим курьером","tests","2026-09-06","passed","2026-09-06","Авторизация курьера","Проверки авторизации курьера","",""
"Проверяем, что при попытке входа с пустым логином возвращается код 400 и валидное сообщение об ошибке.","1336","Попытка авторизации без логина","tests","2026-09-06","passed","2026-09-06","Авторизация курьера","Проверки авторизации курьера","",""
"Проверяем, что при попытке зарегистрировать пользователя с уже существующим в базе логином возвращается код 409.","1297","Попытка регистрации дубликата курьера","tests","2026-09-06","passed","2026-09-06","Регистрация курьера","Проверки регистрации курьера","",""
"Проверяем, что попытка регистрации курьера с пустым полем password возвращает код 400.","589","Попытка регистрации без пароля","tests","2026-09-06","passed","2026-09-06","Регистрация курьера","Проверки регистрации курьера","",""
"Параметризованный тест: проверяем успешное создание заказа при {test_name} цвета.","598","Создание заказа при отсутствии выбора цвета.","tests","2026-09-06","passed","2026-09-06","Создание заказа","Проверки создания заказов","",""
"Параметризованный тест: проверяем успешное создание заказа при {test_name} цвета.","616","Создание заказа при выборе черного цвета.","tests","2026-09-06","passed","2026-09-06","Создание заказа","Проверки создания заказов","",""
